Source;Target;Type;Weight
KBR_ms.III.987_001;AGR_Audience257-BIS_026;Undirected;0.035
KBR_ms.III.987_001;AGR_Audience257-BIS_027;Undirected;0.089
KBR_ms.III.987_001;AGR_Audience257-BIS_028;Undirected;0.068
KBR_ms.III.987_001;AGR_Audience1398-6_001;Undirected;0.025
AGR_Audience2152-4_001;AGR_Audience2152-4_003;Undirected;0.126
AGR_Audience2152-4_001;AGR_Audience244-F_001;Undirected;0.043
AGR_Audience2152-4_001;AGR_Audience257-BIS_001;Undirected;0.044
AGR_Audience2152-4_001;AGR_Audience257-BIS_002;Undirected;0.042
AGR_Audience2152-4_001;AGR_Audience257-BIS_003;Undirected;0.094
AGR_Audience2152-4_001;AGR_Audience257-BIS_004;Undirected;0.026
AGR_Audience2152-4_001;AGR_Audience257-BIS_005;Undirected;0.089
AGR_Audience2152-4_001;AGR_Audience257-BIS_006;Undirected;0.034
AGR_Audience2152-4_001;AGR_Audience257-BIS_007;Undirected;0.003
AGR_Audience2152-4_001;AGR_Audience257-BIS_008;Undirected;0.026
AGR_Audience2152-4_001;AGR_Audience257-BIS_009;Undirected;0.002
AGR_Audience2152-4_001;AGR_Audience257-BIS_010;Undirected;0.074
AGR_Audience2152-4_001;AGR_Audience257-BIS_011;Undirected;0.038
AGR_Audience2152-4_001;AGR_Audience257-BIS_012;Undirected;0.035
AGR_Audience2152-4_001;AGR_Audience257-BIS_014;Undirected;0.016
AGR_Audience2152-4_001;AGR_Audience257-BIS_015;Undirected;0.017
AGR_Audience2152-4_001;AGR_Audience257-BIS_016;Undirected;0.013
AGR_Audience2152-4_001;AGR_Audience257-BIS_017;Undirected;0.022
AGR_Audience2152-4_001;AGR_Audience257-BIS_018;Undirected;0.022
AGR_Audience2152-4_001;AGR_Audience257-BIS_019;Undirected;0.016
AGR_Audience2152-4_001;AGR_Audience257-BIS_020;Undirected;0.048
AGR_Audience2152-4_001;AGR_Audience257-BIS_021;Undirected;0.021
AGR_Audience2152-4_001;AGR_Audience257-BIS_022;Undirected;0.006
AGR_Audience2152-4_001;AGR_Audience257-BIS_023;Undirected;0.018
AGR_Audience2152-4_001;AGR_Audience257-BIS_024;Undirected;0.017
AGR_Audience2152-4_001;AGR_Audience257-BIS_025;Undirected;0.004
AGR_Audience2152-4_001;AGR_Audience257-BIS_026;Undirected;0.013
AGR_Audience2152-4_001;AGR_Audience257-BIS_027;Undirected;0.015
AGR_Audience2152-4_001;AGR_Audience257-BIS_028;Undirected;0.028
AGR_Audience2152-4_001;AGR_Audience1398-6_001;Undirected;0.02
AGR_Audience2152-4_003;AGR_Audience244-F_001;Undirected;0.031
AGR_Audience2152-4_003;AGR_Audience257-BIS_001;Undirected;0.028
AGR_Audience2152-4_003;AGR_Audience257-BIS_002;Undirected;0.084
AGR_Audience2152-4_003;AGR_Audience257-BIS_003;Undirected;0.041
AGR_Audience2152-4_003;AGR_Audience257-BIS_004;Undirected;0.043
AGR_Audience2152-4_003;AGR_Audience257-BIS_005;Undirected;0.074
AGR_Audience2152-4_003;AGR_Audience257-BIS_006;Undirected;0.052
AGR_Audience2152-4_003;AGR_Audience257-BIS_007;Undirected;0.026
AGR_Audience2152-4_003;AGR_Audience257-BIS_008;Undirected;0.061
AGR_Audience2152-4_003;AGR_Audience257-BIS_009;Undirected;0.031
AGR_Audience2152-4_003;AGR_Audience257-BIS_010;Undirected;0.054
AGR_Audience2152-4_003;AGR_Audience257-BIS_011;Undirected;0.052
AGR_Audience2152-4_003;AGR_Audience257-BIS_012;Undirected;0.067
AGR_Audience2152-4_003;AGR_Audience257-BIS_014;Undirected;0.039
AGR_Audience2152-4_003;AGR_Audience257-BIS_015;Undirected;0.027
AGR_Audience2152-4_003;AGR_Audience257-BIS_016;Undirected;0.045
AGR_Audience2152-4_003;AGR_Audience257-BIS_017;Undirected;0.07
AGR_Audience2152-4_003;AGR_Audience257-BIS_018;Undirected;0.035
AGR_Audience2152-4_003;AGR_Audience257-BIS_019;Undirected;0.031
AGR_Audience2152-4_003;AGR_Audience257-BIS_020;Undirected;0.048
AGR_Audience2152-4_003;AGR_Audience257-BIS_021;Undirected;0.033
AGR_Audience2152-4_003;AGR_Audience257-BIS_022;Undirected;0.022
AGR_Audience2152-4_003;AGR_Audience257-BIS_023;Undirected;0.04
AGR_Audience2152-4_003;AGR_Audience257-BIS_024;Undirected;0.038
AGR_Audience2152-4_003;AGR_Audience257-BIS_025;Undirected;0.022
AGR_Audience2152-4_003;AGR_Audience257-BIS_026;Undirected;0.059
AGR_Audience2152-4_003;AGR_Audience257-BIS_027;Undirected;0.016
AGR_Audience2152-4_003;AGR_Audience257-BIS_028;Undirected;0.033
AGR_Audience2152-4_003;AGR_Audience1398-6_001;Undirected;0.035
AGR_Audience244-F_001;AGR_Audience257-BIS_001;Undirected;0.08
AGR_Audience244-F_001;AGR_Audience257-BIS_002;Undirected;0.081
AGR_Audience244-F_001;AGR_Audience257-BIS_003;Undirected;0.028
AGR_Audience244-F_001;AGR_Audience257-BIS_004;Undirected;0.135
